ra;nomealuno;codcurso;genero;Estado Civil;datanasc;logradouro;endereco;numero;complemento;Bairro;Cidade;UF;Regiao;Pais;CEP;E-mail;telefone;situacao
110021;Julio Junior Diniz Vieira ;124;2;1;19/01/02;Rua;Jose Bonifacio;395;Apto. 102;Freguesia (Ilha Do Governador);RIO DE JANEIRO;RJ;SUDESTE;BR;21911020;julionassif@gmail.com;(21) 978727296;Trancado
110022;Julio Junior Ferreira Cunha ;129;2;1;27/06/02;Rua;Jose Bonifacio;284;Apto 103 Bloco D;Freguesia Do Ó;SAO PAULO;SP;SUDESTE;BR;2925000;juliopastorelli@gmail.com;(11) 974483083;Concluido
110023;Julio Junior Gado Da Silva ;128;2;1;22/07/98;Quadra;Jose Bonifacio;278;;Recanto Das Emas;BRASILIA;DF;CENTRO OESTE;BR;72650335;juliodb@live.com;(61) 986291939;Concluido
110024;Julio Junior Lisboa Calabro ;128;2;4;15/05/91;Avenida;Jose Bonifacio;83;Apt 22;Lindoia;CURITIBA;PR;SUL;BR;81010200;julio_renato@hotmail.com;(41) 996919204;Concluido
110025;Julio Junior Mesquita ;132;2;4;18/07/95;Rua;Jose Bonifacio;413;Ap 104 Bl03;Planalto;BELO HORIZONTE;MG;SUDESTE;BR;31720260;juliocinfor@yahoo.com.br;(31) 995925207;Ativo
110026;Julio Junior Nascimento ;123;2;1;04/04/98;Rua;Jose Bonifacio;690;;Cidade Julia;SAO PAULO;SP;SUDESTE;BR;4424020;julio@acafonline.com.br;(11) 967316939;Concluido
110027;Julio Junior Pereira De Morais ;128;2;1;28/06/97;Rua;Jose Bonifacio;44;Ap301;Centro;SOMBRIO;SC;SUL;BR;88960000;martinsleal@ig.com.br;(48) 998145193;Cancelado
110028;Julio Junior Ribeiro ;135;2;2;18/12/89;Avenida;Jose Bonifacio;1999;;Vila Paraíso;CAMPINAS;SP;SUDESTE;BR;13043370;juliolopes.silva@gmail.com;(19) 914577898;Concluido
110029;Julio Junior Rodrigues Dos Santos ;132;2;1;01/07/98;Rua;Jose Bonifacio;1228;Apt 162;Santana;SAO PAULO;SP;SUDESTE;BR;2403020;juliosoaresjr@hotmail.com;(11) 910600839;Cancelado
110030;Julio Junior Rup ;136;2;1;02/07/99;Rua;José Bonifácio;429;;Centro;PINHAIS;PR;SUL;BR;83324090;rgains384@aol.com;(41) 900098859;Concluido
110031;Julius Junior Salvaterra Da Silva ;138;2;1;15/08/96;Rua;José Bonifácio;835;Apt 104;Nova Vista;BELO HORIZONTE;MG;SUDESTE;BR;31070022;juliuscastro1@yahoo.com.br;(31) 951113559;Cancelado
110032;Julius Júnior Souza Júnior Souza ;129;2;1;15/07/03;Rua;José Bonifácio;939;Kitnet 1;Barão Geraldo;CAMPINAS;SP;SUDESTE;BR;13084125;matante@gmail.com;(19) 958387320;Concluido
110033;Julival Junji Yoshimoto ;125;2;4;20/09/94;Rua;José Bonifácio;745;Apt. 602 Edf. Água Azul;Pituba;SALVADOR;BA;NORDESTE;BR;41830390;julicravo@gmail.com;(71) 913934712;Concluido
110034;Julliana Junqueira ;120;1;2;16/01/94;Avenida;José Bonifácio;629;802;Praia Do Canto;VITORIA;ES;SUDESTE;BR;29055131;smurfet@terra.com.br;(28) 958770229;Ativo
110035;Jullysi Junqueira ;138;1;1;02/07/03;Rua;José Bonifácio De Andrade E Silva;531;;Parque Do Lago;VÁRZEA GRANDE;MT;CENTRO OESTE;BR;78120060;jullysi-silva@hotmail.com;(65) 974242312;Cancelado
110036;Junior Junqueira Camargo Dos Santos ;130;2;1;05/02/97;Rua;José Brás;608;513;Nova Hartz;LIBERDADE;RS;SUL;BR;93890000;junioralmeida513@gmail.com;(32) 937306673;Trancado
110037;Junior Junqueira De Andrade ;125;2;4;26/08/92;Rua;Jose Buono;618;;Vila Chico Jolio;FRANCA;SP;SUDESTE;BR;14405248;juniormendes1@gmail.com;(16) 932673933;Cancelado
110038;Junior Jupiracy Da Graca Pinto ;122;2;3;23/05/94;Rua;Jose Cabral Filho;1429;;Vila Brasilina;SAO PAULO;SP;SUDESTE;BR;4161060;joseaugusto.almeida@uol.com.br;(11) 929488966;Ativo
110039;Junior Jurado De Brito ;124;2;1;27/08/97;Rua;José Calil Ahouagi;113;;Centro;CAMPO BOM;RS;SUL;BR;93700000;junior@reichert.com.br;(51) 978184347;Cancelado
110040;Junior Jurany Guimarães ;124;2;4;03/04/92;Rua;Jose Calixto;817;;Jardim Aristocrata;SAO JOSE DOS PINHAIS;PR;SUL;BR;83030055;junior.brisola19@gmail.com;(41) 983249350;Ativo
110041;Junior Jurema De Andrade Monteiro ;137;2;1;26/05/98;Rua;Jose Candido Da Silveira;676;;Saco Dos Limoes;FLORIANOPOLIS;SC;SUL;BR;88045300;laudelina.pereira@cemar-ma.com.br;(49) 996370323;Trancado
110042;Junior Juscelino Soares Pereira ;133;2;4;02/07/91;Servidão;Jose Candido Da Silveira;1807;250;Florianópolis;RIBEIRAO DA LLHA;SC;SUL;BR;88064180;jrporcinio@gmail.com;(49) 969353098;Cancelado
110043;Junior Jushin Toma ;122;2;2;06/07/85;Rua;Jose Canterucci;415;Casa;Centro;PAULO AFONSO;BA;NORDESTE;BR;48601510;jrsezar@gmail.com;(75) 953797200;Concluido
110044;Junior Juste ;133;2;2;26/11/87;Avenida;José Carlos Araújo;1806;Entre Ruas 24 E 26;Centro;BARRETOS;SP;SUDESTE;BR;14780350;juniorsilva@meganet.com.vc;(17) 975353426;Trancado
110045;Júnior Justino Da Silva ;138;2;1;04/11/96;Travessa;José Carlos Daux;1650;Casa;Centro;LAGOA;PB;NORDESTE;BR;58835000;siqueiralink@hotmail.com;(83) 921552103;Cancelado
110046;Junior Justino Dos Reis Jr ;132;2;3;26/09/82;Rua;José Carlos Daux;620;Casa De Esquina;Por Do Sol;CAJAZEIRAS;PB;NORDESTE;BR;58900000;juniorgtr1@gmail.com;(83) 972609126;Concluido
110047;Jurandir Justino Ribeiro ;120;2;3;08/06/89;Rua;Jose Carlos De Resende;81;Internautas;Centro;SANTANA;AP;NORTE;BR;68925186;jurandir_silva@hotmail.com;(77) 944253309;Cancelado
110048;Jurandyr Justino Silva ;131;2;4;01/09/84;Rua;Jose Carlos De Resende;894;Bloco B - Aptº 301;Emaús;PARNAMIRIM;RN;NORDESTE;BR;59148590;jandrejrr@gmail.com;(87) 946482252;Trancado
110049;Juscelino Juvanci Silva ;120;2;4;15/12/91;Avenida;Jose Carlos De Toledo Piza;163;World Connect;Maracana;BARRA DO BUGRES;MT;CENTRO OESTE;BR;78390000;jucelino_13@hotmail.com;(65) 906065214;Concluido
110050;Jussara Juvito Sartori ;124;1;3;08/03/93;Rua;Jose Carlos Goncalves Neto;1685;;Penha;RIO DE JANEIRO;RJ;SUDESTE;BR;21070170;jbaena@oakley.com;(21) 956952131;Cancelado
110051;Jussé K Silva Alecrim ;126;2;1;26/07/01;Rua;Jose Carlos Lopes;1889;Casa;Luzia;ARACAJU;SE;NORDESTE;BR;49048176;vieira_redes@outlook.com;(79) 956649321;Trancado
110052;Justino Kaczan Junior ;121;2;1;10/02/96;Quadra;Jose Carlos Mercuri;1694;Casa 4;Samanbaia;BRASILIA DF;DF;CENTRO OESTE;BR;72320106;djasten@gmail.com;(61) 976685345;Concluido
110053;Justino Kadymyell Barbosa E Silva ;120;2;1;05/04/97;Rua;José Carlos Pace;1303;Ap 204;Iraja;RIO DE JANEIRO;RJ;SUDESTE;BR;21230105;jnpjunior@gmail.com;(21) 950143593;Ativo
110054;Juvenal Kaehler ;126;2;1;03/07/97;Rua;Jose Casagrande;1091;;Eng V Federacao;SALVADOR;BA;NORDESTE;BR;40210440;nalzao@yahoo.com.br;(71) 959077271;Concluido
110055;Juvenal Kaesemodel ;134;2;1;15/02/99;Rua;Jose Casas Garcia;1603;Casa 01;Jardim Ottawa;GUARULHOS;SP;SUDESTE;BR;7230240;juvenalfsn@outlook.com;(11) 909317814;Concluido
110056;Jymmy Kaezer ;138;2;2;18/06/95;Rua;José Cassiano Dos Santos;753;;Nossa Senhora Das Graças;MANAUS;AM;NORTE;BR;69053400;jymmy@haddadam.com.br;(92) 960947595;Cancelado
110057;Kabylai Kaiser ;120;2;1;02/01/01;Rua;José Catuíte De Almeida;1121;;Jardim Nazareth;SAO JOSE DO RIO PRETO;SP;SUDESTE;BR;15054190;kabylai@hotmail.com;(17) 962254026;Trancado
110058;Kaio Kaiser Cabral Brandao ;123;2;1;08/11/01;Rua;José Cavalcante Sobrinho;1351;Cond Okinawa;Parque Brasil 500;PAULINIA;SP;SUDESTE;BR;13141008;silvani-azevedo@bol.com.br;(19) 991572694;Ativo
110059;Kaio Kalilio ;137;2;3;03/08/80;Rua;José Cavalcanti;680;Casa;Bela Vista;MORENO;PE;NORDESTE;BR;54800000;kaiodsl@gmail.com;(81) 975349257;Trancado
110060;Kaio Kalkmann Da Conceicao ;124;2;4;14/01/91;Rua;José Celso Cláudio;286;;Embaré;SANTOS;SP;SUDESTE;BR;11040210;kaio.moreira@gmail.com;(13) 976534666;Ativo
110061;Kaio Kallas ;135;2;2;26/02/88;Rua;José Chaluppe;1375;Casa;Pajuçara;NATAL;RN;NORDESTE;BR;59131400;kaio.lesson@gmail.com;(84) 906918270;Cancelado
110062;Kaio Kallemback Marcondes ;131;2;1;06/04/02;Alameda;José Clemente;697;Apto. 203;Jardim Primavera;DUQUE DE CAXIAS;RJ;SUDESTE;BR;25215230;kaionreis@gmail.com;(21) 933833645;Trancado
110063;Kaio Kamila Sobrinho Rodrigues ;130;2;3;26/12/88;Rua;Jose Cleto;475;Fds;Vila Re;SAO PAULO;SP;SUDESTE;BR;3656030;kaiokot@gmail.com;(11) 962101459;Concluido
110064;Kaio Kamila Sobrinho Rodrigues Me ;136;2;1;20/04/97;Rua;Jose Cleto;408;;Parque Bela Vista;VOTORANTIM;SP;SUDESTE;BR;18110435;kaio-gomes@hotmail.com;(15) 965209658;Trancado
110065;Kaique Kammer ;123;2;1;08/09/01;Rua;Jose Cobra;1356;Casa;Parque Ipê;FEIRA DE SANTANA;BA;NORDESTE;BR;44054322;kaiquelima.fsa@hotmail.com;(75) 930558361;Ativo
110066;Kaique Kanashiro ;132;2;2;06/01/95;Rua;Jose Cobra;951;Casa;Parque Ipê;FEIRA DE SANTANA;BA;NORDESTE;BR;44054322;kaique.rangel.kr@gmail.com;(75) 932712306;Concluido
110067;Kairo Kanegae Saraiva ;123;2;4;30/11/89;Rua;Jose Conhago Pomare;229;Vila D1;Centro;PORTO TROMBETAS;PA;NORTE;BR;68275000;kairoalmeidas@gmail.com;(91) 992510201;Ativo
110068;Kairo Kanjisato ;127;2;1;18/08/01;Avenida;Jose Correia Lima;289;Web Lacerda;Jd Buritti;PONTES E LACERDA;MT;CENTRO OESTE;BR;78250000;kairo_weblacerda@yahoo.com;(65) 939591763;Trancado
110069;Kairon Kano ;137;2;1;04/06/99;Rua;José Correia Picanço;11;Bl3 C 14;Palmas;PALMAS;PR;SUL;BR;85555000;kaironmanica@gmail.com;(46) 937754252;Trancado
110070;Kaiu Kaori Oshiro ;121;2;3;15/01/90;Rua;Jose Cosme Chacon;1785;;Jardim Ismenia;SAO JOSE DOS CAMPOS;SP;SUDESTE;BR;12220720;kaiuhenrique@hotmail.com;(12) 947593533;Trancado
110071;Kaleb Kaori Tamashiro ;123;2;2;02/12/91;Rua;José Cosme Pamplona;164;Bloco Azaleia - Apto 103;Parque 10 De Novembro;MANAUS;AM;NORTE;BR;69054160;mr_kaleb@hotmail.com;(92) 948535943;Ativo
110072;Kaliane Kaplar Junior ;121;1;1;17/10/99;Rua;José Cury Andere;926;;Cabral;CURITIBA;PR;SUL;BR;80035240;refrinter@mtv.com.br;(41) 938476440;Trancado
110073;Kalil Karam ;132;2;1;28/10/95;Rua;José Da Nóbrega Botelho;734;Apt 84;Vl Gomes Cardim;SAO PAULO;SP;SUDESTE;BR;3311000;icebrou@yahoo.com.br;(11) 926525393;Ativo
110074;Kallebe Kardec Alves Ribeiro ;124;2;1;03/04/01;Quadra;José Da Rocha Sales;731;;Ceilandia Norte (Ceilandia);BRASILIA;DF;CENTRO OESTE;BR;72225056;kallebe.santos@gmail.com;(61) 960959574;Concluido
110075;Kalumin Kardec Martins ;133;2;3;15/12/91;Rua;José Da Silva;1078;Apt 55;Parque Residencial Aquarius;SAO JOSE DOS CAMPOS;SP;SUDESTE;BR;12246250;renatawlas@gmail.com;(12) 964209675;Cancelado
110076;Kamila Karem De Oliveira ;120;1;3;11/04/81;Rua;José Da Silva;1829;Casa;Jd. Campo Real Ii;CAMPO VERDE;MT;CENTRO OESTE;BR;78840000;kamila.barata@gmail.com;(66) 977793560;Cancelado
110077;Kaoe Karen Bergamini De Queiroz ;129;2;2;25/10/93;Rua;José Da Silva Luca;1328;;Parque Jacatuba;SANTO ANDRE;SP;SUDESTE;BR;9290470;kaoe@luzemhisterio.com.br;(11) 997914191;Cancelado
110078;Karan Karin Nunes Celes ;132;2;3;06/08/92;Avenida;José Da Silva Ribeiro;1429;3;Barra Do Bugres;SAO RAIMUNDO;MT;CENTRO OESTE;BR;78390000;karanluciano1@gmail.com;(66) 939595023;Ativo
110079;Karen Karina Marcari Costa ;131;1;1;13/01/00;Estrada;José Da Silva Ribeiro;1770;Sala 202;Itaipu;NITERÓI;RJ;SUDESTE;BR;24340000;kbportella@yahoo.com.br;(21) 953141611;Concluido
110080;Karen Karine Quast ;128;1;1;09/05/97;Rua;Jose Da Silva Santos;502;Apt 8;Parque Mandaqui;SAO PAULO;SP;SUDESTE;BR;2422170;karen.cmoraes@netservicos.com.br;(11) 900118680;Trancado
110081;Karen Karla Gama Guimaraes ;126;1;3;01/03/92;Avenida;Jose Da Silva Se;67;Apt 111 B;Jardim Marajoara;SAO PAULO;SP;SUDESTE;BR;4660002;kcoimbradealmeida@gmail.com;(11) 924510038;Cancelado
110082;Karen Karla Gorges ;129;1;1;30/08/01;Rua;José Da Silva Sé;195;;Residencial Nosso Lar;UBERLANDIA;MG;SUDESTE;BR;38414404;karencristinep@gmail.com;(38) 933972398;Trancado
110083;Karen Karley De Oliveira ;135;1;2;04/02/95;Rua;José Damaceno;382;Apt 31 Bl1;Jardim Paulista;SAO JOSE DOS CAMPOS;SP;SUDESTE;BR;12216440;kadoli@ig.com.br;(12) 926916941;Trancado
110084;Karen Karoline Meyer ;126;1;1;06/09/01;Rua;José Dantas Magalhães Glória;1431;Apt 1002;Corrego Grande;FLORIANOPOLIS;SC;SUL;BR;88037500;ka_biesuz@hotmail.com;(49) 938660293;Cancelado
110085;Karen Kassem ;122;1;1;31/12/01;Rua;José De Albuquerque Medeiros;622;1;Cidade Jardim Ii;AMERICANA;SP;SUDESTE;BR;13467202;ka_nouer@yahoo.com.br;(19) 991404117;Concluido
110086;Karen Kasuo Yassuda ;138;1;1;13/08/99;Avenida;José De Albuquerque Medeiros;1036;Apto. 1:Mercadinho O Erinaldo;Centro;VARJOTA;CE;NORDESTE;BR;62265000;ohara.karen99@gmail.com;(88) 923439987;Cancelado
110087;Karin Kath ;129;2;2;05/03/91;Travessa;Jose De Alencar;555;Casa 7;Marco;BELEM;PA;NORTE;BR;66095105;karinklayton@yahoo.com.br;(91) 912578815;Trancado
110088;Karina Katiuska Rojas Flores ;125;1;4;25/10/94;Rua;Jose De Alencar;710;;Vila Proost De Souza;CAMPINAS;SP;SUDESTE;BR;13033690;karina.maeda@netservicos.co.br;(19) 918626364;Ativo
110089;Karina Katsumi Shiraishi ;131;1;3;14/09/88;Rua;Jose De Alencar;850;;Vila Rosali;SAO JOAO DE MERITI;RJ;SUDESTE;BR;25510131;karina_cefet@hotmail.com;(21) 980267929;Trancado
110090;Karina Kawakami ;137;1;1;14/10/96;Rua;Jose De Alencar;107;Cs 1;Vila Moraes;SAO PAULO;SP;SUDESTE;BR;4171000;ka-fei@uol.com.br;(11) 966615687;Concluido
110091;Karina Kawakami ;123;1;1;18/09/02;Rua;Jose De Alencar;1951;Rua Domingos Nogueira;Jardim Dracena;SAO PAULO;SP;SUDESTE;BR;5528250;karinaoliveira.luis@gmail.com;(11) 930771921;Ativo
110092;Karina Kawakami Perez ;122;1;3;11/02/94;Rua;José De Alencar;1248;Apt 22;Brasil;UBERLANDIA;MG;SUDESTE;BR;38400644;ale50@terra.com.br;(38) 955874261;Cancelado
110093;Karina Kawano ;121;1;1;29/06/02;Rua;José De Alencar;1274;Ap 102;Meier;RIO DE JANEIRO;RJ;SUDESTE;BR;20780060;karina.ferreira@globo.com;(21) 912096861;Trancado
110094;Karina Kayam ;127;1;4;03/05/92;Rua;José De Almeida;324;Ap 71;Vila Alexandria;SAO PAULO;SP;SUDESTE;BR;4635041;karina.scorza@gmail.com;(11) 915142690;Trancado
110095;Karina Kazuma Onohara ;138;1;1;31/05/99;Rua;José De Almeida;1634;Apt 33;Nossa Senhora Do O;SAO PAULO;SP;SUDESTE;BR;2926000;ednagaviao@uol.com.br;(11) 908203015;Cancelado
110096;Karina Kazumi Campos Ando ;125;1;2;21/09/94;Rua;José De Almeida;501;;Rosa Dos Ventos;VESPASIANO;MG;SUDESTE;BR;33200000;kmmsouza@yahoo.com.br;(31) 981659166;Concluido
110097;Karina Kazuo Gondo ;134;1;1;12/01/96;Rua;José De Almeida;1112;;Guanabara;JOINVILLE;SC;SUL;BR;89207100;karina.mousse@pop.com.br;(47) 932590668;Cancelado
110098;Karina Kazuo Saito ;130;1;2;17/04/94;Rua;José De Almeida Neves;423;Apt 3;Boqueirao;SANTOS;SP;SUDESTE;BR;11025020;kmagalhaesvartev@gmail.com;(13) 916993448;Trancado
110099;Karina Kchrystofe Barreto Silva ;130;1;1;05/12/99;Rua;Jose De Almeida Soares;1216;Casa A;Nova Petropolis;SAO BERNARDO DO CAMPO;SP;SUDESTE;BR;9771080;karina.szabo@uol.com.br;(11) 958425120;Concluido
110100;Karina Kedma Marques Souza ;136;1;2;25/05/92;Rua;Jose De Alvarenga;846;Ap 42;Bosque;CAMPINAS;SP;SUDESTE;BR;13026121;karinazupo@yahoo.com.br;(19) 997501696;Concluido
110101;Karine Keiko Hamada Ferreira ;132;1;3;27/10/92;Rua;Jose De Andrade Maciel;386;Ap 71;Vila Santa Catarina;SAO PAULO;SP;SUDESTE;BR;4367050;rogerio.roman@gmail.com;(11) 984058505;Concluido
110102;Karine Keiko Ito ;127;1;1;13/11/96;Quadra;José De Antonio;1268;Bl B Apt 11;Asa Sul;BRASILIA;DF;CENTRO OESTE;BR;70390125;karineguimaraes@ibest.com.br;(61) 962838831;Concluido
110103;Karine Keisuke Kofuji ;121;1;1;02/11/95;Rua;José De Britl;1988;109;Guarulhos;GUARULHOS;SP;SUDESTE;BR;7178570;karine.angel@gmail.com;(11) 925957713;Cancelado
110104;Karine Keiti Kawamukai ;134;1;1;02/11/95;Rua;Jose De Castro Coelho;233;;Guarulhos;GUARULHOS;SP;SUDESTE;BR;7178570;katharinakaty@hotmail.com;(11) 971146778;Cancelado
110105;Karine Kelli Souza Dos Anjos ;127;1;1;29/08/98;Rua;José De Castro Mendes;1917;Cs 11;Xaxim;CURITIBA;PR;SUL;BR;81830280;karine.kuritza@gvt.com.br;(41) 914239312;Cancelado
110106;Karl Kelly De Araujo ;129;2;3;06/11/94;Rua;Jose De Freitas Guimaraes;1640;;Nova Suíssa;BELO HORIZONTE;MG;SUDESTE;BR;30421318;frederick.souza@gmail.com;(31) 937805514;Trancado
110107;Karl Kelly De Assis Silva ;131;2;1;17/01/01;Rua;Jose De Holanda;679;Apt 101;Jose Americo De Almeida;JOAO PESSOA;PB;NORDESTE;BR;58073370;lucena17@yahoo.com.br;(83) 928544097;Concluido
110108;Karl Kelly Domingues Nunes R Andrade ;133;2;1;22/12/99;Avenida;José De Holanda 580 Apto.  2103;308;Ap1003;Centro;RIO DO SUL;SC;SUL;BR;89160000;karlbuhr@gmail.com;(47) 935295644;Cancelado
110109;Karla Kelly Franca ;120;1;1;09/03/99;Avenida;José De Magalhães;944;C B;Vila Yolanda;FOZ DO IGUAÇÚ;PR;SUL;BR;85853060;karlaamadigi@yahoo.com.br;(44) 960698685;Concluido
110110;Karla Kelly Gimenes Bertini ;134;1;4;07/12/94;Rua;José De Melo;1024;;Guaruja;CASCAVEL;PR;SUL;BR;85804360;nelson_h_ghiraldini@multibras.com.br;(45) 935330034;Cancelado
110111;Karla Kelly Matsubara ;132;1;2;20/03/93;Rua;José De Oliveira;863;Apt 401;Praia Da Costa;VILA VELHA;ES;SUDESTE;BR;29101120;karla.leles@terra.com.br;(27) 969084053;Ativo
110112;Karline Kelvia Gomes Rodrigues Dos Reis ;138;1;1;03/11/97;Rua;Jose De Oliveira Franco;716;;Brotas;SALVADOR;BA;NORDESTE;BR;40285850;karlineoliva@gmail.com;(71) 980466480;Trancado
110113;Karls Kelvia Vieira ;123;2;4;26/02/95;Rua;Jose De Oliveira Franco;477;C 180 Qde;Altos Da Serra I;CUIABA;MT;CENTRO OESTE;BR;78052304;karlsgsilva@gmail.com;(66) 903396551;Ativo
110114;Karoline Kendi Adati ;132;1;1;17/02/98;Avenida;Jose De Sa Brito;453;Ap 804;Sul (Aguas Claras);BRASILIA;DF;CENTRO OESTE;BR;71927540;krolluz@gmail.com;(61) 913007696;Cancelado
110115;Karolyne Kenedy Oliveira ;124;1;1;08/04/97;Rua;José De Souza Faria;1056;;Piedade;JABOATAO DOS GUARARAPES;PE;NORDESTE;BR;54410090;karolynelins@hotmail.com.br;(81) 993039017;Ativo
110116;Karolynne Keniti Oshiro ;128;1;1;31/12/02;Rua;Jose Dias Cavararo;1016;Qu A Lt 13;Anchieta;RIO DE JANEIRO;RJ;SUDESTE;BR;21655400;karolynnearaujo@gmail.com;(21) 990181115;Cancelado
110117;Kassiane Kenji Nakagawa ;136;1;1;13/10/99;Rua;Jose Dias Da Costa;563;;Praia De Belas;PORTO ALEGRE;RS;SUL;BR;90110200;kassi.mussi@brturbo.com.br;(51) 987382546;Trancado
110118;Kassio Kenji Yamaguchi ;134;2;3;18/12/89;Rua;Jose Do Couto;1203;Smart Networks;Soledade;RECIFE;PE;NORDESTE;BR;50070040;cgr@smart.net.br;(81) 976397579;Cancelado
110119;Kassio Kenned Silva Freire ;128;2;4;08/10/90;Rua;José Do Couto;1783;Ap 1601 Bl 1;Jardim São Paulo;JOAO PESSOA;PB;NORDESTE;BR;58053175;kassio@kassio.net;(83) 990664989;Trancado
110120;Kassio Kerber ;127;2;3;03/01/89;Rua;José Do Nascimento Castro;1465;;De Lorenze;BOITUVA;SP;SUDESTE;BR;18550000;kassio.nascimento@hotmail.com;(15) 992000178;Cancelado
110121;Kassya Kersting ;122;1;2;14/10/94;Rua;Jose Do Patrocinio;1453;;Jardim Stella Maris;JANDIRA;SP;SUDESTE;BR;6624450;kassyadasilvasantos@gmail.com;(11) 980740202;Trancado
110122;Katherine Kester ;126;1;2;18/07/92;Rua;José Do Patrocínio;855;Apt 110;Vila Izabel;CURITIBA;PR;SUL;BR;80320040;katherinerf@uol.com.br;(41) 981295247;Concluido
110123;Katia Kestering ;123;1;1;18/03/97;Rua;Jose Dobner;1950;Bl C Ap 54;Quinta Da Paineira;SAO PAULO;SP;SUDESTE;BR;3152155;katia.iss02@gmail.com;(11) 962441577;Ativo
110124;Katia Keunecke Finck ;125;1;1;04/08/99;Rua;José Domingo Baldasso;1238;Ap 42;Jardim Leonor Mendes De Barros;SAO PAULO;SP;SUDESTE;BR;2346040;katiacab@gmail.com;(11) 927401933;Concluido
110125;Katia Khoury ;138;1;1;10/01/96;Quadra;Jose Domingos De Oliveira;1254;Apt 103;Setor Sudoeste;BRASILIA;DF;CENTRO OESTE;BR;70675107;katiabarbosa@gmail.com;(61) 912379315;Concluido
110126;Katia Khrissie Silva De Souza ;135;1;4;01/03/83;Rua;José Domingue De Andrade;409;234;São Paulo;SAO PAULO;SP;SUDESTE;BR;2925000;kferreira@logictel.com.br;(11) 925670954;Cancelado
110127;Katia Kiarelly Soares De Oliveira ;128;1;4;01/11/84;Quadra;Jose Domingues Da Silva;240;;Asa Norte;BRASILIA;DF;CENTRO OESTE;BR;70772070;katia_gomes_bsb@yahoo.com.br;(61) 944583474;Trancado
110128;Katia Kiel Olivo ;137;1;1;11/01/01;Rua;José Domingues De Andrade;616;;Chacara Belenzinho;SAO PAULO;SP;SUDESTE;BR;3375140;karen.queiroz@gmail.com;(11) 942120917;Ativo
110129;Katia Kienle ;131;1;2;22/09/92;Rua;Jose Domingues De Pontes;422;R. Seis;Linda Vista;CONTAGEM;MG;SUDESTE;BR;32041680;kluciene@hotmail.com;(31) 978618172;Concluido
110130;Katia Kikuchi Nakagawa ;133;1;4;28/08/91;Rua;Jose Dorigo;79;Apt 11 Bl B;Centro;DIADEMA;SP;SUDESTE;BR;9920140;katia.pompeu@eds.com;(11) 987275325;Trancado
110131;Katia Killer Ferreira ;130;1;3;05/12/94;Rua;Jose Dos Reis;488;;Vila Carolina;SAO PAULO;SP;SUDESTE;BR;2724070;kmdavid@panamericano.com.br;(11) 944260661;Concluido
110132;Katia Kioshi Hoshino ;134;1;4;17/02/90;Avenida;José Dos Reis;176;1304;Barra Da Tijuca;RIO DE JANEIRO;RJ;SUDESTE;BR;22631280;katiaplacido@hotmail.com;(21) 942967079;Concluido
110133;Katia Kipfer ;124;1;3;09/12/94;Rua;Jose Dos Santos Costa;379;;Resl Cosmos;CAMPINAS;SP;SUDESTE;BR;13059107;rodrigo@vbtu.com.br;(19) 963011321;Concluido
110134;Katia Kirley Amaral Soares ;135;1;1;07/02/96;Rua;Jose Dos Santos Lage;585;;Vila Renascenca;CAMPINAS;SP;SUDESTE;BR;13067350;katiareginam2004@hotmail.com;(19) 964877542;Concluido
110135;Katia Kishi ;121;1;1;16/07/00;Rua;Jose Dos Santos Silva;537;Cs Cs;Vila Duque De Caxias;CAMPO GRANDE;MS;CENTRO OESTE;BR;79100190;kathyrra@gmail.com;(84) 978520803;Ativo
110136;Katiane Kistique ;122;1;3;01/01/95;Rua;José Drulla Sobrinho;1846;Bl C Ap 3;Imbiribeira;RECIFE;PE;NORDESTE;BR;51170135;katianesantos@yahoo.com.br;(81) 961766554;Trancado
110137;Katilene Kit Wone Ruy ;125;1;4;21/08/94;Rua;Jose Duarte De Souza;446;;Parque Hortolandia;HORTOLÂNDIA;SP;SUDESTE;BR;13184070;hednei.marangoni@elucid.com.br;(19) 993668053;Ativo
110138;Katiussy Kivel ;133;1;1;16/01/99;Rua;José Duran Abal;1501;;Jardim Ipe Ii;MOGI GUAÇÚ;SP;SUDESTE;BR;13840000;katiussy.bugin@kidde.com.br;(19) 999781596;Cancelado
110139;Kauanny Kiyoshi Maeoka ;127;2;3;22/11/90;Rua;José Eduardo Ferreira Dos Santos;992;Casa;Bosque Da Saúde Ii;CUIABÁ;MT;CENTRO OESTE;BR;78050182;kauanny_pl@hotmail.com;(65) 914610892;Cancelado
110140;Kaue Kiyoshi Yoshitome ;132;2;3;25/03/91;Rua;Jose Eduardo Pivatto;1309;;Centro;LONDRINA;PR;SUL;BR;86010480;kauevergara@gmail.com;(43) 984728325;Cancelado
110141;Kauê Kiyoto Matsushita ;127;2;1;23/08/01;Rua;Jose Elias De Moraes;1100;;Vila Monte Alegre;SAO PAULO;SP;SUDESTE;BR;4305060;cursos@smgroup.com.br;(11) 959164913;Ativo
110142;Kayque Klafke ;127;2;4;26/12/94;Rua;José Elias Rabha;1371;;Lidici (Justinópolis);RIBEIRAO DAS NEVES;MG;SUDESTE;BR;33930810;kayque.vsouza@gmail.com;(31) 951809291;Trancado
110143;Keber Klayton Schiochet ;135;2;4;04/01/92;Travessa;Jose Emilio De Souza;201;Ed. Porto Rico - Apt 1104;Pedreira;BELEM;PA;NORTE;BR;66083049;klebermat@gmail.com;(82) 933242021;Concluido
